first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Bismack,Biyombo,2015-04-07,CHO,MIA,00:41:08,4,6,0,0,4,6,5,7,12,2,2,4,1,4,12,41.5
DeMarre,Carroll,2015-04-07,ATL,PHO,00:23:51,8,9,0,1,0,0,1,5,6,2,1,1,2,0,16,29.5
Tyreke,Evans,2015-04-07,NOP,GSW,00:27:31,4,8,0,0,4,5,1,5,6,9,4,0,3,3,12,39.5
Luol,Deng,2015-04-07,MIA,CHO,00:41:03,9,17,1,6,2,2,1,5,6,1,0,0,0,0,21,30.5
Derrick,Williams,2015-04-07,SAC,MIN,00:31:27,8,12,0,2,2,4,3,5,8,1,0,1,1,1,18,31.0
Tarik,Black,2015-04-07,LAL,LAC,00:21:44,6,9,0,0,4,4,3,6,9,1,0,0,0,3,16,28.75
Andrew,Wiggins,2015-04-07,MIN,SAC,00:39:12,11,20,0,1,4,5,4,4,8,0,0,0,3,4,26,34.5
Jordan,Clarkson,2015-04-07,LAL,LAC,00:35:33,7,17,1,4,5,6,0,4,4,6,0,0,2,2,20,33.5
Tim,Duncan,2015-04-07,SAS,OKC,00:23:29,5,9,0,0,2,2,2,7,9,3,1,4,4,0,12,35.75
Quincy,Pondexter,2015-04-07,NOP,GSW,00:34:11,6,7,4,4,4,5,0,0,0,1,0,0,4,2,20,21.5
Andrew,Bogut,2015-04-07,GSW,NOP,00:28:08,4,8,0,0,0,0,2,6,8,3,1,9,3,5,8,41.0
Jeff,Teague,2015-04-07,ATL,PHO,00:24:44,6,13,1,4,3,4,1,3,4,2,1,0,1,1,16,26.0
Ray,McCallum,2015-04-07,SAC,MIN,00:36:16,5,13,2,6,1,2,2,7,9,4,2,0,2,1,13,34.25
Al,Horford,2015-04-07,ATL,PHO,00:25:46,7,10,0,0,0,2,0,5,5,3,1,0,2,1,14,25.75
Russell,Westbrook,2015-04-07,OKC,SAS,00:26:20,7,16,1,2,2,4,0,2,2,2,6,0,4,3,17,33.0
Chase,Budinger,2015-04-07,MIN,SAC,00:33:48,5,8,2,2,1,1,1,5,6,0,1,1,2,2,13,24.5
DeAndre,Jordan,2015-04-07,LAC,LAL,00:32:48,4,5,0,0,0,2,3,14,17,0,0,3,2,3,8,34.25
Aron,Baynes,2015-04-07,SAS,OKC,00:21:47,5,8,0,0,0,0,3,3,6,0,1,0,0,0,10,19.5
Wesley,Johnson,2015-04-07,LAL,LAC,00:39:47,6,12,3,5,0,0,1,5,6,2,0,0,0,6,15,27.0
Hassan,Whiteside,2015-04-07,MIA,CHO,00:22:42,6,8,0,0,0,1,1,7,8,0,0,1,0,5,12,24.0
Markieff,Morris,2015-04-07,PHO,ATL,00:27:51,3,8,0,0,2,3,1,5,6,5,1,1,0,2,8,27.0
Jeremy,Lin,2015-04-07,LAL,LAC,00:24:15,3,10,2,4,6,6,0,2,2,5,0,1,3,1,14,25.5
Cory,Joseph,2015-04-07,SAS,OKC,00:14:35,2,5,1,1,1,2,0,5,5,6,1,0,0,1,6,23.75
Justin,Hamilton,2015-04-07,MIN,SAC,00:25:26,2,4,0,0,0,0,0,4,4,4,3,2,1,1,4,24.5
James,Ennis,2015-04-07,MIA,CHO,00:25:55,2,6,2,4,3,4,1,4,5,2,0,1,0,1,9,21.25
Marvin,Williams,2015-04-07,CHO,MIA,00:40:20,4,11,0,1,0,0,3,10,13,0,1,1,0,0,8,28.25
Kemba,Walker,2015-04-07,CHO,MIA,00:38:53,7,20,0,4,3,5,1,3,4,4,3,0,3,2,17,32.5
Andre,Miller,2015-04-07,SAC,MIN,00:21:12,1,2,0,1,2,2,0,2,2,8,0,0,0,2,4,18.5
Ryan,Anderson,2015-04-07,NOP,GSW,00:30:49,5,15,2,7,0,0,3,6,9,2,0,1,1,1,12,28.75
Jeremy,Lamb,2015-04-07,OKC,SAS,00:13:02,4,7,0,1,3,4,0,4,4,0,0,0,0,1,11,16.0
Jason,Thompson,2015-04-07,SAC,MIN,00:30:46,2,3,0,0,2,6,2,6,8,1,0,2,0,1,6,21.5
Reggie,Williams,2015-04-07,SAS,OKC,00:11:01,3,4,0,1,2,2,2,1,3,1,0,0,0,2,8,13.25
