first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Amar'e,Stoudemire,2015-03-22,DAL,PHO,1028,7,11,0,0,2,2,3,1,4,0,0,0,0,2,16,21.0
Nikola,Vucevic,2015-03-22,ORL,DEN,1608,9,14,0,0,2,2,0,8,8,0,0,1,3,3,20,30.5
Markieff,Morris,2015-03-22,PHO,DAL,2474,7,17,0,2,5,6,3,10,13,1,1,0,3,2,19,37.25
Hassan,Whiteside,2015-03-22,MIA,OKC,1416,5,6,0,0,3,8,3,4,7,0,0,3,0,6,13,27.75
Matt,Barnes,2015-03-22,LAC,NOP,2066,5,8,2,4,0,0,2,1,3,2,0,2,0,3,12,23.75
Marco,Belinelli,2015-03-22,SAS,ATL,1465,4,7,2,4,3,3,1,4,5,2,1,0,2,1,13,24.25
Mitch,McGary,2015-03-22,OKC,MIA,1532,6,11,0,0,2,3,4,4,8,1,1,2,3,2,14,30.0
Dirk,Nowitzki,2015-03-22,DAL,PHO,1998,5,10,1,3,0,0,0,7,7,4,2,0,1,1,11,29.75
Kevin,Martin,2015-03-22,MIN,CHO,2200,7,19,0,2,1,1,0,4,4,9,1,0,1,2,15,35.0
Boris,Diaw,2015-03-22,SAS,ATL,1328,8,10,1,2,0,0,0,2,2,2,0,0,3,3,17,21.5
Andrea,Bargnani,2015-03-22,NYK,TOR,1972,6,13,0,0,4,4,1,2,3,1,0,2,1,2,16,24.75
Zaza,Pachulia,2015-03-22,MIL,CLE,1836,5,7,0,0,1,1,2,7,9,3,2,0,4,2,11,28.75
Lorenzo,Brown,2015-03-22,MIN,CHO,1030,4,5,1,1,0,0,0,1,1,4,1,0,0,1,9,18.75
Timofey,Mozgov,2015-03-22,CLE,MIL,1333,4,5,0,0,2,2,2,0,2,3,1,0,1,2,10,18.5
Chandler,Parsons,2015-03-22,DAL,PHO,1978,7,17,2,7,3,6,0,4,4,3,2,0,2,3,19,32.5
Shane,Larkin,2015-03-22,NYK,TOR,1972,3,6,3,5,0,0,0,3,3,8,2,0,3,2,9,28.75
Pero,Antic,2015-03-22,ATL,SAS,1076,4,6,1,3,2,2,0,3,3,0,2,0,0,2,11,19.25
Jodie,Meeks,2015-03-22,DET,BOS,2015,5,8,1,4,3,4,0,5,5,0,0,0,1,0,14,20.25
Ed,Davis,2015-03-22,LAL,PHI,1329,4,8,0,0,0,1,3,8,11,1,0,4,0,3,8,31.25
Gerald,Henderson,2015-03-22,CHO,MIN,1961,7,12,1,3,2,4,0,1,1,2,0,0,1,3,17,21.25
Wesley,Johnson,2015-03-22,LAL,PHI,1672,5,9,0,1,0,0,2,4,6,1,3,1,2,2,10,26.0
Alex,Len,2015-03-22,PHO,DAL,1544,5,7,0,0,0,0,2,4,6,1,0,3,1,5,10,24.5
Luc,Mbah,2015-03-22,PHI,LAL,1757,5,12,2,5,1,2,0,2,2,2,2,0,0,2,13,23.5
Nate,Robinson,2015-03-22,LAC,NOP,624,3,6,1,2,0,0,1,2,3,3,3,0,1,0,7,21.25
Willie,Green,2015-03-22,ORL,DEN,1711,4,8,3,5,0,0,0,0,0,3,1,0,0,2,11,19.0
Will,Barton,2015-03-22,DEN,ORL,1508,3,10,0,2,5,6,3,2,5,3,2,0,2,1,11,24.75
Jabari,Brown,2015-03-22,LAL,PHI,1468,2,6,1,2,5,6,1,0,1,4,0,1,1,1,10,19.25
J.J.,Hickson,2015-03-22,DEN,ORL,1077,5,10,0,0,1,1,5,3,8,0,1,0,2,1,11,22.0
Ersan,Ilyasova,2015-03-22,MIL,CLE,2024,6,11,1,3,1,2,0,6,6,1,0,0,1,2,14,23.0
Anthony,Morrow,2015-03-22,OKC,MIA,1770,5,11,2,6,0,0,1,1,2,1,2,1,1,2,12,22.5
Rajon,Rondo,2015-03-22,DAL,PHO,2100,6,13,0,1,0,0,1,1,2,6,1,0,1,4,12,25.0
P.J.,Tucker,2015-03-22,PHO,DAL,2010,6,11,3,5,0,4,1,4,5,0,3,1,4,2,15,28.75
Chase,Budinger,2015-03-22,MIN,CHO,1487,4,5,1,2,1,1,0,5,5,0,0,0,0,2,10,16.75
Terrence,Ross,2015-03-22,TOR,NYK,1855,4,7,1,1,2,3,1,2,3,0,1,0,0,2,11,17.25
Andrew,Nicholson,2015-03-22,ORL,DEN,1292,6,9,0,1,1,3,1,5,6,3,0,0,2,5,13,24.0
Louis,Williams,2015-03-22,TOR,NYK,1628,4,11,1,3,4,5,0,1,1,4,0,0,1,0,13,20.25
Jusuf,Nurkic,2015-03-22,DEN,ORL,1529,5,7,0,0,1,4,1,5,6,1,0,3,1,6,11,25.5
Iman,Shumpert,2015-03-22,CLE,MIL,1797,4,7,2,3,0,0,0,4,4,0,1,0,0,1,10,18.0
Marcin,Gortat,2015-03-22,WAS,SAC,1360,3,5,0,0,0,2,5,2,7,2,1,0,0,3,6,19.75
Hollis,Thompson,2015-03-22,PHI,LAL,932,4,7,2,2,0,0,2,1,3,1,0,0,1,0,10,15.75
Kyle,O'Quinn,2015-03-22,ORL,DEN,1078,3,10,0,1,4,4,5,2,7,0,1,0,1,1,10,20.25
Goran,Dragic,2015-03-22,MIA,OKC,2052,4,10,1,3,3,3,1,4,5,3,0,0,2,2,12,22.25
Jerami,Grant,2015-03-22,PHI,LAL,1318,2,6,1,3,4,6,1,2,3,4,0,2,1,4,9,22.75
Steven,Adams,2015-03-22,OKC,MIA,1835,5,10,0,0,0,1,4,6,10,0,0,1,1,4,10,24.0
Cole,Aldrich,2015-03-22,NYK,TOR,1070,4,9,0,0,0,0,2,7,9,0,1,1,0,3,8,23.25
Nerlens,Noel,2015-03-22,PHI,LAL,1968,4,9,0,0,1,2,0,7,7,1,0,2,0,2,9,23.25
Alexis,Ajinca,2015-03-22,NOP,LAC,1594,5,11,0,0,1,2,5,5,10,0,1,0,3,2,11,24.0
Robert,Covington,2015-03-22,PHI,LAL,1518,3,9,2,6,3,3,1,2,3,0,0,1,0,2,11,17.75
Tyler,Zeller,2015-03-22,BOS,DET,1196,4,10,0,0,2,2,2,2,4,1,1,0,0,3,10,18.5
Brandon,Bass,2015-03-22,BOS,DET,2081,6,15,1,2,0,1,4,5,9,0,0,2,2,3,13,27.75
DeMarre,Carroll,2015-03-22,ATL,SAS,1943,4,12,2,6,2,2,0,3,3,1,2,0,1,2,12,21.75
Al,Horford,2015-03-22,ATL,SAS,1703,4,11,0,0,0,0,1,2,3,5,1,0,0,2,8,21.25
James,Johnson,2015-03-22,TOR,NYK,769,3,4,0,0,1,1,1,3,4,3,1,0,2,3,7,17.5
Caron,Butler,2015-03-22,DET,BOS,1685,4,7,3,4,1,1,0,2,2,1,0,0,2,3,12,16.5
Drew,Gooden,2015-03-22,WAS,SAC,1403,5,13,0,1,0,0,2,4,6,1,2,0,1,1,10,22.5
